career_id|career_name
1|ADMINISTRACION DEPORTIVA
5|INGENIERIA ELECTRONICA
7|INGENIERIA ELECTRICA
10|INGENIERIA FORESTAL
15|INGENIERIA INDUSTRIAL
16|ARTES PLASTICAS Y VISUALES
20|INGENIERIA DE SISTEMAS
25|INGENIERIA CATASTRAL Y GEODESIA
31|TECNOLOGIA EN TOPOGRAFIA
32|INGENIERIA TOPOGRAFICA
52|COMUNICACION SOCIAL Y PERIODISMO
53|ARCHIVISTICA Y GESTION DE LA INFORMACION DIGITAL
72|TECNOLOGIA EN ELECTRICIDAD
73|TECNOLOGIA EN ELECTRONICA
74|TECNOLOGIA EN MECANICA
77|TECNOLOGIA EN INDUSTRIAL
78|TECNOLOGIA SISTEMATIZACION DE DATOS
81|TECNOLOGIA EN GESTION AMBIENTAL Y SERVICIOS PUBLICOS
85|TECNOLOGIA EN SANEAMIENTO AMBIENTAL
97|ARTES ESCENICAS
98|ARTES MUSICALES
102|ARTE DANZARIO
104|ARTES ESCENICAS
105|INSTITUTO DE LENGUAS UNIVERSIDAD DISTRITAL
106|INSTITUTO PARA LA PEDAGOGIA, LA PAZ Y EL CONFLICTO URBANO
107|FISICA
108|QUIMICA
109|BIOLOGIA
131|TECNOLOGIA EN LEVANTAMIENTOS TOPOGRAFICOS
132|CAPACITACION DOCENTE SEGUNDA LENGUA
133|FORM. DE PROFESORES EN NUEVAS EXPERIENCIAS EDUCATIVAS INCLUYENTES Y SOLIDARIAS
134|INVESTIGACION Y EXTENSION DE PEDAGOGIA
135|LICENCIATURA EN FISICA
140|LICENCIATURA EN BIOLOGIA
145|LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS
150|LICENCIATURA EN QUIMICA
155|LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES
160|LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA
165|LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN INGLES
167|MATEMATICAS
180|INGENIERIA AMBIENTAL
181|INGENIERIA SANITARIA
185|ADMINISTRACION AMBIENTAL
187|LICENCIATURA EN PEDAGOGIA INFANTIL
188|LICENCIATURA EDUCACION BASICA CON ENFASIS EN EDUCACION ARTISTICA
245|LICENCIATURA EN MATEMATICAS
255|LICENCIATURA EN CIENCIAS SOCIALES
260|LICENCIATURA EN HUMANIDADES Y LENGUA CASTELLANA
265|LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS EN INGLES
287|LICENCIATURA EN EDUCACION INFANTIL
288|LICENCIATURA EN EDUCACION ARTISTICA
372|INGENIERIA ELECTRICA (CICLOS PROPEDEUTICOS)
373|INGENIERIA EN TELECOMUNICACIONES (CICLOS PROPEDEUTICOS)
374|TECNOLOGIA EN MECANICA (CICLOS PROPEDEUTICOS)
375|INGENIERIA MECANICA (CICLOS PROPEDEUTICOS)
377|INGENIERIA DE PRODUCCION (CICLOS PROPEDEUTICOS)
378|INGENIERIA EN TELEMATICA
379|TECNOLOGIA EN CONSTRUCCIONES CIVILES (CICLOS PROPEDEUTICOS)
383|INGENIERIA EN CONTROL (CICLOS PROPEDÉUTICOS)
572|TECNOLOGIA EN ELECTRICIDAD DE MEDIA Y BAJA TENSION
573|TECNOLOGIA EN ELECTRONICA (CICLOS PROPEDEUTICOS)
574|TECNOLOGIA EN MECANICA INDUSTRIAL
577|TECNOLOGIA EN GESTION DE LA PRODUCCION INDUSTRIAL
578|TECNOLOGIA EN SISTEMATIZACION DE DATOS (CICLOS PROPEDEUTICOS)
579|INGENIERIA CIVIL (CICLOS PROPEDEUTICOS)
583|INGENIERIA EN CONTROL Y AUTOMATIZACION (CICLOS PROPEDEUTICOS)
673|TECNOLOGIA EN ELECTRONICA INDUSTRIAL (CICLOS PROPEDEUTICOS)
678|INGENIERIA EN TELEMATICA (CICLOS PROPEDEUTICOS)
779|CONV. SED - TECNOLOGIA CONSTRUC. CIVILES
